change_in_market_value,position,foot,height_in_cm,age,minutes_played,goals,assists,penalty_attempts,yellow_cards,shots,shots_on_target_pct,goals_per_shot,passes,completed_passes_pct,assisted_shots,goal_creating_action,tackles_won_pct,tackles_interceptions,clearances,mistakes_leading_to_opp_shot,dribbles_success,ball_control_failed_attempt,ball_control_lost_after_tackle,fouls,fouled,offside,penalties_won,aerial_success_pct
-5000000,Defender,Right,200,32,366,1,0,0,0,2,1,0.5,247,0.9149797570850202,0,0,1,8,22,2,0,2,1,2,4,0,0,0.7857142857142857
-1700000,Midfield,Right,181,32,2494,0,0,0,11,12,0.0833333333333333,0,1691,0.8143110585452396,36,2,0.6785714285714286,114,78,2,11,18,28,39,69,0,0,0.6363636363636364
0,Defender,Right,187,36,1447,0,1,0,2,1,0,0,1266,0.9178515007898894,4,3,0.5769230769230769,43,46,0,2,5,3,10,10,0,0,0.5789473684210527
-500000,Attack,Right,176,25,1033,0,3,0,0,20,0.25,0,421,0.7149643705463183,22,8,0.8260869565217391,35,16,0,12,24,10,8,18,3,1,0.25
-400000,Defender,Left,176,35,1046,0,0,0,5,0,0,0,529,0.77882797731569,4,0,0.6875,61,49,0,8,1,5,19,12,0,0,0.6
-12000000,Midfield,Both,171,33,1824,1,2,0,1,16,0.375,0.0625,1562,0.8655569782330346,17,9,0.7857142857142857,38,12,1,63,27,26,15,40,0,0,0.2222222222222222
-1000000,Midfield,Left,187,34,1154,1,1,0,3,7,0.428571428571429,0.142857142857143,1336,0.9356287425149701,11,5,0.75,49,26,1,5,8,11,27,14,1,0,0.45098039215686275
0,Attack,Right,181,36,2479,4,7,0,7,33,0.424242424242424,0.121212121212121,1348,0.8264094955489614,51,11,0.8636363636363636,37,38,0,64,41,41,21,40,5,1,0.3695652173913043
0,Attack,Right,186,33,982,5,0,1,2,29,0.344827586206897,0.172413793103448,248,0.592741935483871,5,3,0.7272727272727273,13,9,0,17,32,23,17,23,10,0,0.5287356321839081
-1500000,Attack,Right,174,34,1641,2,6,0,4,39,0.435897435897436,0.0512820512820513,455,0.7098901098901099,27,10,0.8,25,12,0,22,63,42,18,35,13,0,0.32
-500000,Attack,Right,184,31,2207,12,3,2,0,48,0.458333333333333,0.25,625,0.6896,15,6,0.5789473684210527,29,29,0,34,49,33,22,34,11,0,0.34375
0,Attack,Right,187,32,2285,26,5,4,1,174,0.413793103448276,0.149425287356322,789,0.779467680608365,38,18,0.5714285714285714,13,14,0,31,42,27,19,18,40,1,0.5573770491803278
-5000000,Midfield,Right,179,30,2307,2,4,0,5,38,0.263157894736842,0.0526315789473684,2351,0.7966822628668652,89,13,0.7205882352941176,90,26,2,18,21,24,25,22,5,0,0.3125
-250000,Midfield,Right,182,35,1044,0,1,0,2,7,0.142857142857143,0,671,0.8673621460506706,14,3,0.5833333333333334,45,15,0,8,14,13,13,15,0,0,0.4117647058823529
-500000,Defender,Left,185,32,90,0,0,0,0,0,0,0,58,0.9482758620689655,0,0,1,2,8,0,0,1,1,1,0,0,0,0.8
-150000,Midfield,Left,182,32,370,1,1,1,1,8,0.25,0.125,244,0.7131147540983607,8,0,0.7142857142857143,12,1,0,5,8,9,8,4,0,0,0.5384615384615384
-12000000,Defender,Right,190,31,1394,1,1,0,6,9,0.222222222222222,0.111111111111111,1434,0.9253835425383543,4,1,0.55,36,73,1,3,6,2,18,1,0,0,0.7777777777777778
-500000,Midfield,Right,180,31,1193,1,0,0,4,14,0.571428571428571,0.0714285714285714,494,0.7753036437246964,11,2,0.7037037037037037,45,11,0,11,18,17,13,19,1,0,0.6
0,Defender,Right,185,33,2817,0,0,0,4,13,0.153846153846154,0,918,0.8071895424836601,5,0,0.7142857142857143,66,146,1,9,7,8,31,12,1,0,0.6148648648648649
3000000,Midfield,Left,187,30,3019,5,1,0,10,58,0.362068965517241,0.0862068965517241,1965,0.8921119592875318,15,9,0.6067415730337079,139,56,1,38,24,28,59,40,1,0,0.6610169491525424
-2000000,Defender,Left,187,26,121,0,0,0,1,1,0,0,55,0.7818181818181819,0,0,0,3,14,0,0,0,1,3,2,0,0,0.6363636363636364
-250000,Defender,Left,182,26,540,0,1,0,0,3,0.333333333333333,0,360,0.8166666666666667,3,1,0.5,18,29,0,10,9,9,4,6,0,0,0.3888888888888889
-4000000,Midfield,Right,174,29,2399,3,3,3,9,34,0.294117647058824,0.0882352941176471,2309,0.8211346903421395,66,6,0.7464788732394366,83,17,3,83,34,60,42,51,2,0,0.43478260869565216
-4000000,Defender,Left,180,27,362,0,0,0,0,3,0,0,274,0.8029197080291971,4,0,0.6666666666666666,13,14,0,1,4,3,4,4,0,0,0.5714285714285714
0,Midfield,Left,175,33,275,0,0,0,0,1,0,0,190,0.8315789473684211,6,0,0.6666666666666666,6,2,0,3,7,7,2,4,1,0,0.5
100000,Attack,Left,184,34,1803,5,1,0,4,44,0.454545454545455,0.113636363636364,603,0.7280265339966833,31,8,0.9,14,5,0,36,66,48,29,45,8,0,0.375
-1000000,Defender,Right,188,33,1050,1,0,0,3,4,0.25,0.25,389,0.7275064267352185,2,0,0.6,31,120,1,1,2,0,13,2,0,0,0.5949367088607594
-5500000,Midfield,Right,188,34,236,0,2,0,1,5,0.2,0,417,0.935251798561151,7,3,1,7,4,0,4,1,1,5,0,0,0,0.5555555555555556
-4000000,Defender,Left,170,32,1909,2,3,2,1,5,0.4,0.4,1009,0.7670961347869177,24,4,0.52,50,56,0,8,9,10,7,17,1,0,0.4117647058823529
-500000,Defender,Right,180,34,2065,0,0,0,2,7,0.285714285714286,0,983,0.7497456765005086,1,1,0.696969696969697,72,179,1,1,8,4,8,15,0,0,0.6132075471698113
0,Defender,Right,191,32,2705,0,1,0,9,13,0.0769230769230769,0,1864,0.7226394849785408,27,2,0.6938775510204082,98,194,4,11,10,10,24,15,1,0,0.6604651162790698
-1000000,Attack,Right,170,32,429,0,0,0,1,5,0.4,0,177,0.6497175141242938,6,1,0.5,12,5,0,6,8,7,9,0,0,0,0.38461538461538464
0,Midfield,Right,178,32,456,0,0,0,1,1,0,0,241,0.8091286307053942,3,0,0.47368421052631576,26,10,0,0,6,2,11,5,0,0,0.625
2000000,Defender,Both,175,32,2442,2,4,0,7,18,0.222222222222222,0.111111111111111,1683,0.7635175282234106,26,8,0.6037735849056604,110,86,1,29,19,18,29,35,1,0,0.475
0,Attack,Right,165,30,1911,0,2,0,2,14,0.357142857142857,0,524,0.6641221374045801,11,6,0.6486486486486487,56,27,0,15,19,32,21,20,1,2,0.32142857142857145
1500000,Midfield,Right,178,30,2319,0,6,0,10,12,0.0833333333333333,0,1364,0.75,47,8,0.7037037037037037,130,46,1,10,18,19,60,54,0,0,0.6557377049180327
0,Midfield,Left,183,33,1706,3,2,0,2,19,0.368421052631579,0.157894736842105,712,0.7457865168539326,20,6,0.7368421052631579,39,17,0,22,34,43,15,31,5,1,0.3
0,Defender,Right,178,33,164,0,0,0,0,2,0,0,89,0.6741573033707865,0,0,0.75,8,7,0,0,0,0,1,0,0,0,0.6666666666666666
0,Defender,Right,190,31,2742,3,1,0,7,17,0.411764705882353,0.176470588235294,2510,0.8928286852589642,7,3,0.6551724137931034,61,129,1,2,6,3,28,18,2,0,0.6433566433566433
-700000,Attack,Right,175,29,115,0,0,0,1,1,0,0,42,0.7380952380952381,2,0,1,1,2,0,2,2,4,5,4,0,1,0
0,Midfield,Right,187,33,1929,3,5,1,1,15,0.6,0.2,1065,0.815962441314554,42,8,0.7777777777777778,25,20,0,20,22,18,15,31,4,0,0.5172413793103449
-1500000,Attack,Right,181,31,166,0,0,0,1,0,0,0,82,0.8780487804878049,0,0,1,4,1,0,1,1,3,1,0,0,0,NA
0,Defender,Right,180,32,1125,0,0,0,5,2,1,0,587,0.6712095400340715,5,0,0.9411764705882353,39,77,0,3,9,9,22,19,0,0,0.49056603773584906
2000000,Defender,Left,183,31,1018,0,1,0,3,3,0.666666666666667,0,650,0.9276923076923077,3,1,0.6923076923076923,31,28,0,1,4,1,9,3,1,0,0.6206896551724138
-2000000,Defender,Right,172,34,2063,1,7,0,7,27,0.185185185185185,0.037037037037037,2079,0.8547378547378547,47,12,0.7125,108,21,0,28,20,30,38,34,4,0,0.45714285714285713
-7000000,Defender,Right,172,31,1763,1,0,0,2,19,0.210526315789474,0.0526315789473684,960,0.70625,31,4,0.78125,51,37,0,16,21,19,16,24,8,0,0.3142857142857143
-500000,Midfield,Right,180,33,1965,1,2,0,5,21,0.285714285714286,0.0476190476190476,1090,0.7908256880733945,19,1,0.6268656716417911,88,29,3,8,25,17,29,24,0,0,0.4305555555555556
-500000,Defender,Left,188,33,2919,1,0,0,10,21,0.19047619047619,0.0476190476190476,2338,0.9178785286569717,6,4,0.6511627906976745,90,130,2,8,4,3,27,25,1,0,0.6078431372549019
30000000,Midfield,Right,185,25,2595,5,3,0,8,32,0.375,0.15625,1762,0.876844494892168,23,12,0.7155963302752294,172,49,3,11,20,33,59,72,2,0,0.6145833333333334
-1000000,Defender,Right,190,31,1145,1,0,0,3,7,0.714285714285714,0.142857142857143,593,0.8077571669477235,3,2,0.6470588235294118,41,66,0,5,2,2,11,14,0,0,0.6404494382022472
-3000000,Defender,Right,180,30,1057,1,0,0,3,4,0.5,0.25,776,0.8054123711340206,10,4,0.85,28,29,0,0,7,6,12,8,3,0,0.5555555555555556
-50000,Defender,Right,185,35,1815,0,0,0,2,4,0.25,0,687,0.8602620087336245,0,0,0.6153846153846154,29,117,1,0,0,2,10,9,0,0,0.6
2000000,Attack,Right,186,30,2357,6,1,0,4,46,0.347826086956522,0.130434782608696,1119,0.7587131367292225,17,7,0.6470588235294118,57,43,1,24,50,45,72,95,14,0,0.44285714285714284
-200000,Midfield,Left,179,32,405,0,0,0,3,4,0.25,0,158,0.6962025316455697,1,0,0.7777777777777778,20,10,0,0,3,2,11,7,0,0,0.55
-1400000,Midfield,Right,178,33,480,0,0,0,2,1,1,0,148,0.6621621621621622,1,1,0.45454545454545453,19,8,0,1,1,1,15,1,0,0,0.8
-700000,Midfield,Both,171,34,1264,1,1,0,2,13,0.230769230769231,0.0769230769230769,744,0.8185483870967742,4,3,0.64,42,14,0,15,18,15,12,5,2,0,0.2631578947368421
0,Defender,Right,178,33,2614,2,2,3,6,3,0.666666666666667,0.666666666666667,1721,0.7739686228936665,20,4,0.8444444444444444,78,60,0,5,14,13,20,32,0,0,0.5686274509803921
0,Defender,Left,178,33,1051,0,0,0,2,2,0,0,636,0.7421383647798742,8,1,0.75,58,21,0,8,6,4,11,9,1,0,0.2727272727272727
0,Defender,Left,173,34,616,0,0,0,4,5,0,0,232,0.6594827586206896,6,1,0.6428571428571429,39,15,2,5,8,12,14,5,0,0,0.25
0,Attack,Right,183,31,3209,11,2,4,4,70,0.314285714285714,0.157142857142857,1012,0.7351778656126482,28,12,0.6363636363636364,45,51,0,23,113,62,48,95,36,1,0.3684210526315789
-500000,Attack,Right,185,31,426,1,2,0,0,9,0.333333333333333,0.111111111111111,199,0.8542713567839196,5,3,0.7142857142857143,9,2,0,4,6,7,3,6,0,0,0.3
0,Midfield,Right,175,30,2183,0,0,0,2,6,0.333333333333333,0,1140,0.85,6,2,0.7415730337078652,134,23,0,11,18,8,43,14,0,0,0.46808510638297873
-20000000,Attack,Right,185,29,2150,5,10,2,0,61,0.245901639344262,0.0819672131147541,881,0.8206583427922814,44,22,0.5714285714285714,22,19,0,33,25,41,19,11,15,1,0.24324324324324326
0,Midfield,Left,183,30,3025,2,6,1,7,36,0.25,0.0555555555555556,2151,0.7164109716410971,63,12,0.6413043478260869,132,45,1,20,42,43,50,31,2,0,0.39759036144578314
10000000,Defender,Right,194,30,2632,2,0,0,9,18,0.277777777777778,0.111111111111111,1868,0.8934689507494646,6,1,0.7096774193548387,61,127,0,13,12,11,23,11,3,1,0.6881720430107527
0,Midfield,Right,181,32,3298,1,3,0,6,37,0.189189189189189,0.027027027027027,2019,0.7652303120356612,43,6,0.6013986013986014,196,91,0,30,67,39,52,27,3,0,0.47540983606557374
-3000000,Attack,Left,173,30,260,1,0,0,0,12,0.166666666666667,0.0833333333333333,109,0.8073394495412844,1,0,1,2,1,0,2,10,7,3,5,0,0,0
0,Midfield,Right,189,31,2412,2,2,0,3,24,0.333333333333333,0.0833333333333333,1255,0.7019920318725099,25,4,0.7362637362637363,126,52,0,11,20,10,56,41,4,0,0.32857142857142857
